title,release_year,budget,revenue,runtime,mpaa_rating_numeric,director_score,cast_score,genre_war,genre_western,genre_sci-fi,genre_biography,genre_musical,genre_thriller,genre_mystery,genre_news,genre_sport,genre_animation,genre_adventure,genre_family,genre_crime,genre_music,genre_romance,genre_history,genre_fantasy,genre_drama,genre_horror,genre_action,genre_comedy,genre_documentary
Time Bandits,1981,5000000,42365581,116,2,7.1,4.8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
Clash of the Titans,1981,12000000,41092328,118,2,6.9,4.1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
Thief,1981,5500000,11494812,123,4,6.9,4.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
Excalibur,1981,11000000,35000000,141,2,6.5,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
The Cannonball Run,1981,18000000,72179579,95,2,5.6,4.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
Raiders of the Lost Ark,1981,18000000,389925971,115,2,7.5,6.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Quest for Fire,1981,12000000,55260558,100,4,7.4,4.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
History of the World: Part I,1981,11000000,31672907,92,4,6.8,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
The Fox and the Hound,1981,12000000,29800000,82,1,7.2,4.5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
An American Werewolf in London,1981,10000000,31973249,97,4,7.5,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Porky's,1981,4000000,159989673,94,4,5.2,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
The Howling,1981,1000000,17985893,91,4,6.6,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Halloween II,1981,2500000,25533818,92,4,5.2,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
For Your Eyes Only,1981,28000000,195300000,128,2,6.6,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Outland,1981,18000000,17374595,109,4,6.3,4.3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Escape to Victory,1981,10000000,27453418,116,2,6.6,5.3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Scanners,1981,4100000,14225876,103,4,6.7,4.3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Mad Max 2,1981,2000000,24600832,96,4,6.6,5.2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Gallipoli,1981,3000000,11700000,112,2,7.3,5.2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
Mommie Dearest,1981,5000000,19032261,128,4,6.6,4.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Chariots of Fire,1981,5500000,58972904,123,2,7.1,4.4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
The Postman Always Rings Twice,1981,12000000,12376625,122,4,6.6,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
Reds,1981,35000000,40382659,195,2,6.6,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
On Golden Pond,1981,15000000,119285432,109,2,6.9,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Cutter's Way,1981,3000000,1729274,105,4,6.8,5.1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Arthur,1981,7000000,95461682,97,2,6.9,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Absence of Malice,1981,12000000,40716963,116,2,6.8,5.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Wolfen,1981,17000000,10626725,115,4,6.3,4.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Prince of the City,1981,8600000,8124257,167,4,7.1,4.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Rich and Famous,1981,11500000,5100000,115,4,5.8,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Pennies from Heaven,1981,22000000,9171289,108,4,6.7,4.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"Zorro, The Gay Blade",1981,12600000,10200000,93,2,6.6,3.7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
Conan the Barbarian,1982,20000000,73951475,129,4,6.9,5.1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
An Officer and a Gentleman,1982,7500000,129795554,124,4,7.5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
